# Data downloaded from the Kansas Mesonet mesonet.k-state.edu,,,,,,,,,,,
TIMESTAMP,PRESSUREAVG,TEMP2MMIN,TEMP2MMAX,RELHUM2MMAX,RELHUM2MMIN,PRECIP,SR,WSPD2MAVG,WDIR2M,SOILTMP5AVG,VWC5CM
1/1/2019,97.27,-9.77,2.76,90.74,67.15,0,2.14,3.62,273.2,-0.14,0.3034
1/2/2019,99.05,-11.67,-7.85,77.15,62.65,0,3.74,2.82,299.05,-1.27,0.1902
1/3/2019,98.33,-7.85,3.03,86.36,35.25,0,11.57,2.85,197.42,-1.03,0.1744
1/4/2019,97.85,-8.4,10.1,91.93,29.42,0,11.39,1.19,207.17,-0.98,0.1759
1/5/2019,97.41,-7.03,12.61,94.53,38.16,0,11.3,1.47,204.87,-0.64,0.1829
1/6/2019,97.75,-3.64,17.44,96.65,33.22,0,11.52,0.94,211.48,-0.23,0.1975
1/7/2019,96.99,1.41,16.23,89.76,41.62,0,5.56,3.89,138.21,0.16,0.2216
1/8/2019,96.98,0.57,14.54,90.85,37,0,9.1,3.34,207.97,3.5,0.3854
1/9/2019,98.74,-0.63,10.24,77.39,22.66,0,12.01,4.13,266.85,2.48,0.3849
1/10/2019,99.41,-4.85,4.98,84.24,19.73,0,11.25,1.84,269.77,0.94,0.3768
1/11/2019,98.55,-4.85,8.87,83.42,33.31,0,10.75,2.02,98.89,0.73,0.3739
1/12/2019,97.96,-0.29,3.87,99.93,53.7,7.11,1.44,1.6,57.27,1.02,0.3937
1/13/2019,98.22,-1.11,-0.08,100,81.88,2.03,4.93,4.23,344.68,1.13,0.4166
1/14/2019,99.17,-2.54,-1.04,92.82,85.03,2.79,4.12,2.49,324.67,1.19,0.4151
1/15/2019,98.92,-3.91,0.66,99.78,91.15,3.81,4.31,2.96,194.1,1.09,0.4135
1/16/2019,98.36,-2,0.66,100,95.53,0,4.58,2.68,190.97,1.22,0.4154
1/17/2019,98.22,-2.54,-0.29,100,96.38,0,1.55,2.72,35.74,1.06,0.4169
1/18/2019,98.13,-1.79,0.72,99.25,88.89,1.02,2.82,1.9,286.74,1.35,0.4201
1/19/2019,97.44,-6.63,2.35,99.86,87.66,6.1,0.84,4.6,44.01,1.31,0.4232
1/20/2019,98.61,-12.7,-6.56,88.75,57.25,0,11.75,5.18,307.93,0.29,0.422
1/21/2019,98.58,-14.06,-1.74,88.02,58.51,2.03,10.82,2.56,95.89,-0.07,0.3812
1/22/2019,97.5,-8.54,3.17,85.49,66.71,0,5.74,4.12,80.28,-0.27,0.2427
1/23/2019,97.31,-7.99,3.17,99.81,68.72,1.78,0.86,2.74,342.35,-0.13,0.2367
1/24/2019,97.84,-11.74,-0.91,96.99,63.39,2.54,13.89,1.6,223.93,-0.24,0.2309
1/25/2019,98.52,-15.56,-1.04,96.79,42.79,0.51,12.19,2.95,278.03,-0.41,0.214
1/26/2019,98.41,-15.97,4.54,94.22,57.04,0,11.07,2.74,200.31,-0.88,0.1805
1/27/2019,97.99,-6.49,6.55,96.31,55.36,0,11.68,2.07,222.88,-0.6,0.1863
